id,name,uri
3291,IndustrialManufacturingOntology,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#IndustrialManufacturingOntology
1687,ProductDevelopment,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ProductDevelopment
1748,NewProductIntroduction(NPI),http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#NewProductIntroduction(NPI)
11801,SupplierEvaluation&Onboarding,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#SupplierEvaluation&Onboarding
8712,MaterialsPlanning&Procurement,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MaterialsPlanning&Procurement
10543,ResourcePlanning&Alignment,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ResourcePlanning&Alignment
1466,DevOps,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#DevOps
4021,CompetitiveAnalysis,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CompetitiveAnalysis
1267,Conceptualization,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Conceptualization
2528,Research&Development,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Research&Development
2842,ProductPortfolioManagement,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ProductPortfolioManagement
11659,PatentManagement,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#PatentManagement
7755,ProductMaterialsAnalysis,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ProductMaterialsAnalysis
12446,ProductInnovation,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ProductInnovation
8804,ProductDemandAnalysis,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ProductDemandAnalysis
11184,MethodTesting&Execution,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MethodTesting&Execution
5710,DistributionAnalysis,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#DistributionAnalysis
1338,MethodDevelopment,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MethodDevelopment
10135,R&DPlanning,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#R&DPlanning
8667,Prototyping,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Prototyping
9480,PackagingDesign,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#PackagingDesign
1921,MaterialsScience,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MaterialsScience
12059,BlueLasers/PrecisionCutting,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#BlueLasers/PrecisionCutting
